"Population estimates on July 1st, by age and sex" 1 2 3 4
"Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Geography: Canada, Province or territory"

"","Canada","Newfoundland and Labrador","Prince Edward Island","Nova Scotia","New Brunswick","Quebec","Ontario","Manitoba","Saskatchewan","Alberta","British Columbia","Yukon","Northwest Territories 6 (map)","Nunavut 6 (map)"
"","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"Age group 3 5","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020"
"","Persons",,,,,,,,,,,,,
"18 years and over","30,754,887","436,312","129,799","813,389","645,289","6,972,707","11,971,129","1,068,553","905,623","3,445,146","4,273,972","33,660","34,430","24,878"

Symbol legend:

Footnotes:
1,Postcensal estimates are based on the 2016 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated Indian reserves (IEIR)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including (IEIR) and postcensal estimates.
2,"Estimates are final intercensal up to 2015, final postcensal from 2016 to 2018, updated postcensal for 2019 and preliminary postcensal for 2020."
3,Data for persons aged 90 to 100 years and over will be available from 2001.
4,"The population growth, which is used to calculate population estimates, is comprised of the natural growth (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,Age at last birthday in years.
6,"Prior to 1991, only estimates of population for Northwest Territories and Nunavut combined are available."

"How to cite: Statistics Canada. Table 17-10-0005-01 Population estimates on July 1st, by age and sex"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
DOI: https://doi.org/10.25318/1710000501-eng
